date,median_1y_ret,sse_composite_1y_ret,sse_composite,n_eligible
2015-01-05,,,3350.519,0
2015-01-06,,,3351.446,2335
2015-01-07,,,3373.954,2336
2015-01-08,,,3293.456,2339
2015-01-09,,,3285.412,2339
2015-01-12,,,3229.316,2329
2015-01-13,,,3235.301,2332
2015-01-14,,,3222.437,2328
2015-01-15,,,3336.455,2325
2015-01-16,,,3376.495,2329
2015-01-19,,,3116.351,2320
2015-01-20,,,3173.052,2322
2015-01-21,,,3323.611,2319
2015-01-22,,,3343.344,2318
2015-01-23,,,3351.764,2316
2015-01-26,,,3383.182,2314
2015-01-27,,,3352.96,2321
2015-01-28,,,3305.738,2319
2015-01-29,,,3262.305,2329
2015-01-30,,,3210.363,2327
2015-02-02,,,3128.3,2321
2015-02-03,,,3204.907,2323
2015-02-04,,,3174.126,2328
2015-02-05,,,3136.531,2326
2015-02-06,,,3075.907,2323
2015-02-09,,,3095.124,2320
2015-02-10,,,3141.593,2323
2015-02-11,,,3157.704,2329
2015-02-12,,,3173.416,2334
2015-02-13,,,3203.827,2332
2015-02-16,,,3222.363,2331
2015-02-17,,,3246.906,2351
2015-02-25,,,3228.843,2345
2015-02-26,,,3298.359,2344
2015-02-27,,,3310.303,2343
2015-03-02,,,3336.285,2330
2015-03-03,,,3263.052,2330
2015-03-04,,,3279.533,2329
2015-03-05,,,3248.476,2321
2015-03-06,,,3241.187,2320
2015-03-09,,,3302.408,2316
2015-03-10,,,3286.068,2318
2015-03-11,,,3290.9,2321
2015-03-12,,,3349.323,2318
2015-03-13,,,3372.911,2310
2015-03-16,,,3449.305,2299
2015-03-17,,,3502.847,2300
2015-03-18,,,3577.301,2303
2015-03-19,,,3582.271,2294
2015-03-20,,,3617.318,2295
2015-03-23,,,3687.728,2283
2015-03-24,,,3691.41,2285
2015-03-25,,,3660.727,2278
2015-03-26,,,3682.095,2268
2015-03-27,,,3691.096,2273
2015-03-30,,,3786.568,2257
2015-03-31,,,3747.899,2266
2015-04-01,,,3810.294,2269
2015-04-02,,,3825.784,2265
2015-04-03,,,3863.929,2276
2015-04-07,,,3961.378,2260
2015-04-08,,,3994.811,2262
2015-04-09,,,3957.534,2252
2015-04-10,,,4034.31,2254
2015-04-13,,,4121.715,2253
2015-04-14,,,4135.565,2259
2015-04-15,,,4084.163,2243
2015-04-16,,,4194.823,2243
2015-04-17,,,4287.296,2247
2015-04-20,,,4217.077,2249
2015-04-21,,,4293.623,2257
2015-04-22,,,4398.494,2263
2015-04-23,,,4414.508,2268
2015-04-24,,,4393.686,2272
2015-04-27,,,4527.396,2276
2015-04-28,,,4476.215,2286
2015-04-29,,,4476.62,2291
2015-04-30,,,4441.655,2289
2015-05-04,,,4480.464,2281
2015-05-05,,,4298.706,2272
2015-05-06,,,4229.266,2274
2015-05-07,,,4112.214,2274
2015-05-08,,,4205.917,2271
2015-05-11,,,4333.584,2280
2015-05-12,,,4401.219,2291
2015-05-13,,,4375.76,2277
2015-05-14,,,4378.311,2277
2015-05-15,,,4308.691,2277
2015-05-18,,,4283.491,2260
2015-05-19,,,4417.552,2257
2015-05-20,,,4446.288,2265
2015-05-21,,,4529.422,2276
2015-05-22,,,4657.596,2267
2015-05-25,,,4813.798,2246
2015-05-26,,,4910.897,2254
2015-05-27,,,4941.714,2257
2015-05-28,,,4620.266,2244
2015-05-29,,,4611.744,2238
2015-06-01,,,4828.738,2222
2015-06-02,,,4910.527,2219
2015-06-03,,,4909.978,2218
2015-06-04,,,4947.102,2225
2015-06-05,,,5023.096,2220
2015-06-08,,,5131.8809,2203
2015-06-09,,,5113.5337,2208
2015-06-10,,,5106.0359,2207
2015-06-11,,,5121.5925,2207
2015-06-12,,,5166.35,2207
